"","continent","country","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","positive_rate","people_fully_vaccinated","people_fully_vaccinated_per_hundred","population","population_density","median_age","aged_65_older","gdp_per_capita","human_development_index","democ","polity2","idv","ape","rpe","rpr"
"111","Africa","Lesotho",21587,656,9998.3,303.835,NA,NA,NA,2159067,73.562,22.2,4.506,2851.153,0.527,9,8,NA,NA,NA,NA
"112","Africa","Liberia",5811,287,1121.77,55.403,NA,249861,4.82,5180208,49.127,19.2,3.057,752.788,0.48,7.2,6.2,NA,NA,NA,NA
"113","Africa","Libya",354215,5028,50903.652,722.566,NA,370707,5.33,6958538,3.623,29,4.424,17881.509,0.724,NA,0,NA,NA,NA,NA
"114","Europe","Liechtenstein",3629,60,94865.896,1568.463,0.032,24152,63.14,38254,237.012,NA,NA,NA,0.919,NA,NA,NA,NA,NA,NA
"115","Europe","Lithuania",390031,5661,145000.375,2104.569,0.14,1643889,61.11,2689862,45.135,43.5,19.002,29524.265,0.882,10,10,60,NA,NA,NA
"116","Europe","Luxembourg",80603,842,126971.05,1326.373,0.053,NA,NA,634814,231.447,39.7,14.312,94277.965,0.916,10,10,60,0.744466698169708,0.749647963047028,0.723870766162872
"117","Asia","Macao",NA,NA,NA,NA,NA,343230,52.13,658391,20546.766,39.2,9.798,104861.851,NA,NA,NA,NA,NA,NA,NA
"118","Africa","Madagascar",43622,960,1534.509,33.77,NA,184632,0.65,28427333,43.951,19.6,2.929,1416.44,0.528,6,6,NA,NA,NA,NA
"119","Africa","Malawi",61765,2296,3143.628,116.859,NA,533726,2.72,19647681,197.519,18.1,2.979,1095.042,0.483,6,6,NA,NA,NA,NA
"120","Asia","Malaysia",2436498,28492,74337.427,869.289,0.05,23906468,72.94,32776195,96.254,29.9,6.293,26808.164,0.81,6.2,5.4,26,NA,NA,NA
"121","Asia","Maldives",87071,240,160168.868,441.485,0.028,353773,65.08,543620,1454.433,30.6,4.12,15183.616,0.74,NA,NA,NA,NA,NA,NA
"122","Africa","Mali",15866,559,760.75,26.803,NA,257460,1.23,20855724,15.196,16.4,2.519,2014.306,0.434,6,5,NA,NA,NA,NA
